Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,3320.25,3360,3320.25,3340.75,3208.145508,299232
2015-01-02,3360,3383,3350.5,3359.600098,3226.247314,233924
2015-01-05,3382,3469.350098,3376.050049,3447.800049,3310.946533,536747
2015-01-06,3439,3439,3382.5,3395.25,3260.482422,422743
2015-01-07,3400,3458.949951,3382.050049,3437.75,3301.29541,369241
2015-01-08,3465,3509.550049,3444,3475.5,3337.547119,422022
2015-01-09,3500,3507.699951,3429.949951,3468.199951,3330.536865,194054
2015-01-12,3470,3483.649902,3445.149902,3462.899902,3325.447021,152803
2015-01-13,3483.800049,3515,3462.100098,3468.25,3330.584961,237771
2015-01-14,3471.850098,3531,3461.300049,3516,3376.439453,429069
2015-01-15,3550.350098,3638.649902,3540,3625.800049,3481.881348,670686
2015-01-16,3615.25,3625,3592.050049,3616.600098,3473.046387,379075
2015-01-19,3627.699951,3642.5,3615.199951,3626.25,3482.313232,192537
2015-01-20,3618,3636,3584.5,3605.550049,3462.435059,333315
2015-01-21,3623,3690,3592,3634.699951,3490.427734,402419
2015-01-22,3648,3648,3592.100098,3597.25,3454.464355,318883
2015-01-23,3634,3639.75,3575,3606.699951,3463.539063,337571
2015-01-27,3644.949951,3704.699951,3585.149902,3687.899902,3541.516357,1278436
2015-01-28,3692,3758.5,3692,3725.800049,3577.911865,672705
2015-01-29,3745,3745,3677,3688.800049,3542.380371,603103
2015-01-30,3700,3741,3626.550049,3647.350098,3502.575928,284786
2015-02-02,3647.350098,3725,3620,3669.449951,3523.798584,319679
2015-02-03,3708,3708,3600,3607.850098,3464.643311,220676
2015-02-04,3620,3634,3550.5,3557.550049,3416.340088,203545
2015-02-05,3579,3597,3508,3522.699951,3382.873291,379633
2015-02-06,3529.75,3533.5,3490,3502.600098,3363.571289,198214
2015-02-09,3490,3497.199951,3400,3411.300049,3275.895508,286868
2015-02-10,3393,3478,3360,3393.850098,3259.137939,547537
2015-02-11,3406,3470.800049,3406,3454.75,3317.620605,341769
2015-02-12,3468,3559.75,3468,3551.899902,3410.914307,436882
2015-02-13,3565,3627,3531.300049,3616.949951,3473.382324,321186
2015-02-16,3620,3650,3561.5,3572.100098,3430.312988,260901
2015-02-18,3575,3584,3547.050049,3564.949951,3423.446289,161803
2015-02-19,3575,3615,3562.149902,3595.149902,3452.447754,214789
2015-02-20,3610,3614,3542,3547.350098,3406.545166,240749
2015-02-23,3561,3575,3532.850098,3545.899902,3405.152832,163132
2015-02-24,3573.850098,3600,3553.199951,3588.300049,3445.869629,143983
2015-02-25,3595,3615,3564.100098,3579.899902,3437.802734,173339
2015-02-26,3567.300049,3581.899902,3483.149902,3496.850098,3358.049561,429598
2015-02-27,3497,3618.850098,3496.850098,3604.399902,3461.330322,378654
2015-02-28,3497,3618.850098,3496.850098,3604.399902,3461.330322,378654
2015-03-02,3648.100098,3730,3632.25,3711.449951,3564.131348,386182
2015-03-03,3718,3734.350098,3689.550049,3708.649902,3561.442383,206296
2015-03-04,3750,3789.699951,3647.25,3678.399902,3532.393066,340907
2015-03-05,3677,3711.25,3641.350098,3678.75,3532.729492,152837
2015-03-09,3632.300049,3690.899902,3623,3671.300049,3525.574951,218786
2015-03-10,3689,3689,3640.25,3646.75,3501.999756,182667
2015-03-11,3642.050049,3672,3615.350098,3656.449951,3511.314453,198508
2015-03-12,3667.399902,3719.949951,3662.100098,3685.199951,3538.92334,308505
2015-03-13,3705,3717.199951,3625.100098,3650.699951,3505.79248,363024
2015-03-16,3651,3677,3637.800049,3647.050049,3502.287354,182829
2015-03-17,3665,3688.949951,3623.550049,3661.550049,3516.211914,185250
2015-03-18,3663,3678,3642.300049,3664.899902,3519.429199,177261
2015-03-19,3671,3695,3648,3655,3509.922363,252139
2015-03-20,3640,3672.800049,3610,3623.850098,3480.008789,206403
2015-03-23,3625.050049,3639.199951,3583.050049,3594.399902,3451.727051,192986
2015-03-24,3625,3635,3567.050049,3587.300049,3444.909424,227226
2015-03-25,3590,3628.899902,3573.300049,3614.75,3471.269775,201854
2015-03-26,3605,3622.949951,3537.949951,3561.449951,3420.085205,489101
2015-03-27,3570,3619.75,3545.600098,3610.050049,3466.756592,204071
2015-03-30,3629,3674,3600.449951,3660.949951,3515.635986,152167
2015-03-31,3659.850098,3727.699951,3659.850098,3697.350098,3550.591309,294635
2015-04-01,3699.949951,3757.550049,3600,3644.699951,3500.030762,694487
2015-04-06,3646,3670.899902,3619,3628.949951,3484.906006,262771
2015-04-07,3640,3650,3578,3599.899902,3457.008789,306684
2015-04-08,3615,3664.899902,3606,3628.699951,3484.666016,256031
2015-04-09,3639,3667,3625,3659.199951,3513.955322,238584
2015-04-10,3660,3688.350098,3633.399902,3666.600098,3521.061768,201302
2015-04-13,3661,3680,3642.75,3665.199951,3519.717285,218690
2015-04-15,3655,3729,3650.399902,3680.25,3534.169678,232802
2015-04-16,3676.25,3718.699951,3662.25,3677.899902,3531.913086,206305
2015-04-17,3666.149902,3682.899902,3636.350098,3646.800049,3502.047607,99056
2015-04-20,3627,3648.399902,3584.600098,3608.050049,3464.835693,175033
2015-04-21,3605,3607.25,3470,3490.149902,3351.615234,482786
2015-04-22,3491.050049,3508.100098,3386.100098,3462.949951,3325.495117,422446
2015-04-23,3490,3535.550049,3480,3494.449951,3355.744873,234616
2015-04-24,3486,3565,3434.100098,3541.399902,3400.831299,332449
2015-04-27,3563.199951,3684,3520.199951,3648.399902,3503.583984,1804129
2015-04-28,3664,3838.800049,3660,3822.600098,3670.869629,1129937
2015-04-29,3839,3873,3746.649902,3766.199951,3616.708252,703698
2015-04-30,3760,3793,3709.949951,3725.850098,3577.959717,592304
2015-05-04,3797,3840,3726.75,3757.75,3608.593506,478823
2015-05-05,3753,3805,3736.550049,3793.050049,3642.492676,458196
2015-05-06,3788,3788,3623.550049,3634.550049,3490.283936,430929
2015-05-07,3626,3626,3520,3543.600098,3402.943848,469950
2015-05-08,3561.449951,3620,3561.449951,3610.550049,3467.236572,495595
2015-05-11,3633.899902,3674.399902,3616.149902,3651.699951,3506.753174,288810
2015-05-12,3650,3652.949951,3555,3577.449951,3435.449951,332314
2015-05-13,3620,3632,3544.399902,3604.100098,3461.042725,337505
2015-05-14,3604.949951,3653.5,3552,3646.5,3501.759521,287801
2015-05-15,3640,3684,3626,3671.199951,3525.479248,208258
2015-05-18,3675,3706.399902,3652,3697.600098,3550.831055,183483
2015-05-19,3695,3729.899902,3685,3706.75,3559.61792,175567
2015-05-20,3707.100098,3749.949951,3707,3711.899902,3564.563477,218115
2015-05-21,3711.899902,3729.899902,3691.449951,3698.100098,3551.311279,198709
2015-05-22,3703,3728.800049,3694.600098,3702.550049,3555.584717,135158
2015-05-25,3696.199951,3717,3681,3692.75,3546.173828,81113
2015-05-26,3696,3730,3672,3726.449951,3578.535889,252919
2015-05-27,3700,3750,3699,3721.899902,3574.166504,283565
2015-05-28,3726,3738.949951,3696.050049,3708.899902,3561.682373,317937
2015-05-29,3720,3788.949951,3693.050049,3785.699951,3635.434326,432656
2015-06-01,3785.899902,3898.949951,3774.399902,3882.850098,3728.728027,571376
2015-06-02,3880,3887.300049,3815.050049,3831.399902,3679.320068,329350
2015-06-03,3805,3820,3752,3777.199951,3627.271729,277700
2015-06-04,3799,3813,3747,3772.050049,3622.326172,193996
2015-06-05,3769,3799.899902,3751,3759.449951,3610.226074,253728
2015-06-08,3786,3804.550049,3716,3723.5,3575.703125,303682
2015-06-09,3710,3726.949951,3675.800049,3692.300049,3545.741455,209963
2015-06-10,3702.949951,3748.899902,3694.149902,3742.550049,3593.996826,239272
2015-06-11,3752.050049,3778.949951,3691.350098,3701.399902,3554.480225,226654
2015-06-12,3701.100098,3755,3695.5,3736.800049,3588.475342,173412
2015-06-15,3737.5,3789.899902,3731,3767.399902,3617.860596,175936
2015-06-16,3767.399902,3810.550049,3744.699951,3789.600098,3639.179443,228783
2015-06-17,3805,3824.899902,3793,3808.75,3657.569336,291820
2015-06-18,3813,3891.949951,3812,3861.100098,3707.841309,232645
2015-06-19,3879,3949.5,3862,3937.350098,3781.064697,309290
2015-06-22,3955.050049,3994.899902,3955.050049,3980.649902,3822.645996,230791
2015-06-23,3982,4028.5,3955.300049,4017.149902,3857.697266,330957
2015-06-24,4024,4035.649902,3987.050049,4009.300049,3850.158691,306048
2015-06-25,3984,4043.699951,3983.600098,4031.5,3871.477539,240888
2015-06-26,4026,4077.399902,4006.149902,4069.949951,3908.401367,291925
2015-06-29,4020,4025.75,3961.100098,3993.300049,3834.793701,344044
2015-06-30,3985.25,4060,3985.25,4023.350098,3863.651367,340789
2015-07-01,4034.899902,4089.850098,4026,4031.699951,3871.669434,380963
2015-07-02,4031.5,4049,3981.149902,3993.399902,3834.889893,322025
2015-07-03,3993.399902,4020,3977.100098,3998.899902,3840.171387,279389
2015-07-06,3984.899902,4005,3975.050049,3987.949951,3829.65625,332811
